Abscissa	Profile 1
x	y
[]	[]
0	17.352586
0.99992058	17.40767
1.9998412	17.287672
2.9997617	17.262464
3.9996823	17.237309
4.9996029	17.310997
5.9995235	17.100461
6.999444	16.994082
7.9993646	16.910262
8.9992852	16.897246
9.9992058	16.879412
10.999126	16.715246
11.999047	16.741161
12.998968	16.699484
13.998888	16.666133
14.998809	16.561324
15.998729	16.589953
16.99865	16.524206
17.99857	16.549303
18.998491	16.615992
19.998412	16.668204
20.998332	16.872553
21.998253	17.15521
22.998173	17.260893
23.998094	17.550926
24.998014	17.746132
25.997935	17.984312
26.997856	18.328459
27.997776	18.468974
28.997697	18.654296
29.997617	18.864934
30.997538	18.77226
31.997459	18.826918
32.997379	19.046812
33.9973	19.262182
34.99722	19.275626
35.997141	19.149311
36.997061	19.152228
37.996982	19.161691
38.996903	19.215089
39.996823	19.131665
40.996744	19.039224
41.996664	18.91375
42.996585	19.010708
43.996505	18.923768
44.996426	18.713125
45.996347	18.72569
46.996267	18.794793
47.996188	18.813136
48.996108	19.040987
49.996029	19.184404
50.995949	19.202124
51.99587	19.509867
52.995791	19.690829
53.995711	20.104766
54.995632	20.251063
55.995552	20.450061
56.995473	20.930343
57.995394	21.271815
58.995314	21.437789
59.995235	21.702613
60.995155	22.033956
61.995076	22.285602
62.994996	22.521841
63.994917	22.617151
64.994838	22.797503
65.994758	22.871053
66.994679	22.813243
67.994599	22.809773
68.99452	22.888346
69.99444	22.743761
70.994361	22.604788
71.994282	22.596008
72.994202	22.571651
73.994123	22.396402
74.994043	22.345612
75.993964	22.409358
76.993885	22.189752
77.993805	21.816336
78.993726	21.613408
79.993646	21.559063
80.993567	21.460442
81.993487	21.555966
82.993408	21.636895
83.993329	21.510201
84.993249	21.587063
85.99317	21.683934
86.99309	21.66377
87.993011	21.679689
88.992931	21.775149
89.992852	22.165923
90.992773	22.202551
91.992693	22.384612
92.992614	22.930031
93.992534	23.116078
94.992455	23.074845
95.992376	23.161647
96.992296	23.368774
97.992217	23.67018
98.992137	24.188541
99.992058	24.35456
100.99198	24.307386
101.9919	24.456925
102.99182	24.441078
