Parameter:
Anzahl Messungen: 40
Torzeit in Sekunden: 10.0
Zeit in Sekunden,  Anzahl gemessener Zerfälle
0.0, 102.0
10.0, 77.0
20.0, 65.0
30.0, 52.0
40.0, 32.0
50.0, 23.0
60.0, 31.0
70.0, 16.0
80.0, 27.0
90.0, 16.0
100.0, 18.0
110.0, 18.0
120.0, 14.0
130.0, 18.0
140.0, 13.0
150.0, 14.0
160.0, 9.0
170.0, 4.0
180.0, 19.0
190.0, 5.0
200.0, 8.0
210.0, 10.0
220.0, 3.0
230.0, 14.0
240.0, 10.0
250.0, 7.0
260.0, 9.0
270.0, 9.0
280.0, 10.0
290.0, 13.0
300.0, 5.0
310.0, 7.0
320.0, 8.0
330.0, 9.0
340.0, 4.0
350.0, 8.0
360.0, 3.0
370.0, 8.0
380.0, 4.0
390.0, 5.0
