0.02,-41.1,0.0208,41.3
0.022,-39.1,0.0228,41.3
0.024,-39.1,0.0248,40.3
0.026,-39.1,0.0268,38.3
0.028,-37.1,0.0288,39.3
0.03,-37.1,0.0308,39.3
0.032,-37.1,0.0328,37.3
0.034,-37.1,0.0348,36.3
0.036,-37.1,0.0368,35.3
0.038,-33.1,0.0388,35.3
0.04,-37.1,0.0408,33.3
0.042,-33.1,0.0428,34.3
0.044,-33.1,0.0448,32.3
0.046,-31.1,0.0468,33.3
0.048,-33.1,0.0488,30.3
0.05,-31.1,0.0508,29.3
0.052,-31.1,0.0528,27.3
0.054,-27.1,0.0548,30.3
0.056,-27.1,0.0568,26.3
0.058,-27.1,0.0588,27.3
0.06,-26.1,0.0608,26.3
0.062,-25.1,0.0628,25.3
0.064,-25.1,0.0648,25.3
0.066,-25.1,0.0668,23.3
0.068,-23.1,0.0688,23.3
0.07,-23.1,0.0708,22.3
0.072,-21.1,0.0728,19.3
0.074,-23.1,0.0748,20.3
0.076,-21.1,0.0768,20.3
0.078,-22.1,0.0788,18.3
0.08,-22.1,0.0808,18.3
0.082,-17.1,0.0828,19.3
0.084,-19.1,0.0848,17.3
0.086,-18.1,0.0868,17.3
0.088,-15.1,0.0888,15.3
0.09,-15.1,0.0908,15.3
0.092,-15.1,0.0928,15.3
0.094,-12.1,0.0948,11.3
0.096,-13.1,0.0968,11.3
0.098,-10.1,0.0988,11.3
0.1,-11.1,0.1008,11.3
0.102,-10.1,0.1028,10.3
0.104,-9.1,0.1048,9.3
0.106,-11.1,0.1068,8.3
0.108,-8.1,0.1088,6.3
0.11,-7.1,0.1108,6.3
0.112,-7.1,0.1128,5.3
0.114,-5.1,0.1148,5.3
0.116,-7.1,0.1168,3.3
0.118,-5.1,0.1188,3.3
0.12,-3.1,0.1208,3.3
0.122,-3.1,0.1228,1.3
0.124,-1.1,0.1248,2.3
0.126,0.9,0.1268,0.3
0.128,-1.1,0.1288,-0.7
0.13,0.9,0.1308,-1.7
0.132,1.9,0.1328,-0.7
0.134,0.9,0.1348,-4.7
0.136,2.9,0.1368,-4.7
0.138,2.9,0.1388,-4.7
0.14,2.9,0.1408,-6.7
0.142,5.9,0.1428,-5.7
0.144,5.9,0.1448,-4.7
0.146,4.9,0.1468,-6.7
0.148,7.9,0.1488,-6.7
0.15,6.9,0.1508,-9.7
0.152,8.9,0.1528,-9.7
0.154,8.9,0.1548,-10.7
0.156,10.9,0.1568,-10.7
0.158,8.9,0.1588,-11.7
0.16,11.9,0.1608,-13.7
0.162,13.9,0.1628,-14.7
0.164,13.9,0.1648,-14.7
0.166,13.9,0.1668,-16.7
0.168,13.9,0.1688,-16.7
0.17,15.9,0.1708,-16.7
0.172,15.9,0.1728,-16.7
0.174,16.9,0.1748,-18.7
0.176,17.9,0.1768,-20.7
0.178,17.9,0.1788,-20.7
0.18,18.9,0.1808,-20.7
0.182,17.9,0.1828,-24.7
0.184,20.9,0.1848,-24.7
0.186,22.9,0.1868,-24.7
0.188,23.9,0.1888,-24.7
0.19,23.9,0.1908,-26.7
0.192,24.9,0.1928,-25.7
0.194,24.9,0.1948,-27.7
0.196,26.9,0.1968,-28.7
0.198,27.9,0.1988,-27.7
0.2,26.9,0.2008,-32.7
0.202,28.9,0.2028,-32.7
0.204,31.9,0.2048,-32.7
0.206,28.9,0.2068,-34.7
0.208,31.9,0.2088,-32.7
0.21,31.9,0.2108,-36.7
0.212,32.9,0.2128,-34.7
0.214,32.9,0.2148,-34.7
0.216,32.9,0.2168,-36.7
0.218,34.9,0.2188,-38.7
0.22,34.9,0.2208,-37.7
0.222,34.9,0.2228,-40.7
0.224,39.9,0.2248,-37.7
0.226,37.9,0.2268,-40.7
0.228,39.9,0.2288,-42.7
0.23,40.9,0.2308,-42.7
0.232,40.9,0.2328,-42.7
0.234,43.9,0.2348,-42.7
0.236,40.9,0.2368,-45.7
0.238,43.9,0.2388,-45.7
0.24,42.9,0.2408,-46.7
0.242,44.9,0.2428,-48.7
